lead_hour_from_case_start,model,n,bias,mae,rmse,median_abs_error,low_sample
0,GDAS_Realtime,1,-0.08853661335255492,0.08853661335255492,0.08853661335255492,0.08853661335255492,True
0,ERA5_Lagged,1,0.14685596299936154,0.14685596299936154,0.14685596299936154,0.14685596299936154,True
3,GDAS_Realtime,0,,,,,True
3,ERA5_Lagged,0,,,,,True
6,GDAS_Realtime,0,,,,,True
6,ERA5_Lagged,0,,,,,True
9,GDAS_Realtime,0,,,,,True
9,ERA5_Lagged,0,,,,,True
12,GDAS_Realtime,0,,,,,True
12,ERA5_Lagged,0,,,,,True
15,GDAS_Realtime,0,,,,,True
15,ERA5_Lagged,0,,,,,True
18,GDAS_Realtime,1,0.02158983208809495,0.02158983208809495,0.02158983208809495,0.02158983208809495,True
18,ERA5_Lagged,1,-0.2817950988321609,0.2817950988321609,0.2817950988321609,0.2817950988321609,True
21,GDAS_Realtime,0,,,,,True
21,ERA5_Lagged,0,,,,,True
24,GDAS_Realtime,0,,,,,True
24,ERA5_Lagged,0,,,,,True
27,GDAS_Realtime,0,,,,,True
27,ERA5_Lagged,0,,,,,True
30,GDAS_Realtime,0,,,,,True
30,ERA5_Lagged,0,,,,,True
33,GDAS_Realtime,0,,,,,True
33,ERA5_Lagged,0,,,,,True
36,GDAS_Realtime,2,-6.024136166608572,6.024136166608572,6.03663339887719,6.024136166608572,True
36,ERA5_Lagged,2,-3.8952520245729145,3.8952520245729145,4.86593937426321,3.8952520245729145,True
39,GDAS_Realtime,1,-7.228291266230426,7.228291266230426,7.228291266230426,7.228291266230426,True
39,ERA5_Lagged,1,-2.6472591419693305,2.6472591419693305,2.6472591419693305,2.6472591419693305,True
42,GDAS_Realtime,4,-1.0808853712216187,3.0091681574623643,3.6503924575964017,1.9282827862407457,True
42,ERA5_Lagged,4,2.1032016187308837,3.6622637294630804,4.263068581724473,4.0609143551818585,True
45,GDAS_Realtime,3,-2.625632684451892,7.081928130174987,9.046090976005909,5.700371009130503,True
45,ERA5_Lagged,3,0.7151127581945046,8.001978561199993,9.108787969402883,10.930298704508232,True
48,GDAS_Realtime,10,-2.7892419836632327,4.620128900357307,5.665683290760448,3.787097970828556,False
48,ERA5_Lagged,10,-0.5506464834969258,6.021395532632157,7.082243084310837,4.175672131689721,False
51,GDAS_Realtime,5,0.28494759840883715,3.463311048878167,4.055109496688773,3.2309863491367583,True
51,ERA5_Lagged,5,2.9557353530157684,6.5453275830513835,7.841181585691014,6.708218996061493,True
54,GDAS_Realtime,4,-1.7644709143001793,4.960948998062163,5.2537767077353115,5.530614214571666,True
54,ERA5_Lagged,4,-0.1173709915347243,6.775176873613942,7.916695505292239,5.889104872309564,True
57,GDAS_Realtime,5,-2.4651561643526017,5.464286941072538,6.4517974860356375,4.559156597646735,True
57,ERA5_Lagged,5,-1.498294414141876,6.629699649054068,8.042310787223826,4.801357727168567,True
60,GDAS_Realtime,5,2.783500668784785,4.106748499932722,4.681366662929867,4.759684634147081,True
60,ERA5_Lagged,5,4.205169152096035,6.0221603628764635,7.006311403370306,7.0793902303607394,True
63,GDAS_Realtime,3,0.8899195029481183,5.055508431336166,5.815672980657047,6.24838339258207,True
63,ERA5_Lagged,3,2.2797382714281595,6.559512194802895,8.008495483542747,6.419660885062104,True
66,GDAS_Realtime,7,0.9349275747063682,3.210627813421883,3.906547041518058,2.4898714334240566,True
66,ERA5_Lagged,7,3.9645265962726692,4.389673229099197,5.534376572282427,3.6414407123917556,True
69,GDAS_Realtime,3,0.0465208854267812,2.8763108094048477,3.06204687852482,2.692238868797185,True
69,ERA5_Lagged,3,-1.9403850924252257,5.792900632262932,6.3309617947576005,5.778773309756559,True
72,GDAS_Realtime,5,-0.30524793531961975,4.314761605555613,4.775216616435833,3.6287163688872437,True
72,ERA5_Lagged,5,1.9949966740786422,5.721688671475647,6.803087431389657,3.7856306033759872,True
